lcs,brand_name_1,brand_name_2,brand_name_3,brand_name_4,brand_name_5,brand_name_6,brand_name_7,brand_name_8,brand_name_9,brand_name_10,brand_name_11,brand_name_12
adidas,愛迪達 adidas,adidas 愛迪達,adidas
MENTHOLATUM,MENTHOLATUM 曼秀雷敦,曼秀雷敦 MENTHOLATUM
國際牌P,國際牌 Panasonic,國際牌 PANASONIC
Panasonic,國際牌 Panasonic,Panasonic
anasonic,國際牌 Panasonic,Panasonic,國際牌 panasonic
BALANCE,NEW BALANCE,B BALANCE
osmetics,vt cosmetics,vt cosmetics X BT21,essence cosmetics 艾森絲,theBalm Cosmetics,Bomb Cosmetics,First Cosmetics Works de第一化粧品
cosmetics,essence cosmetics 艾森絲,vt cosmetics,vt cosmetics X BT21
Cellina,雪芙蘭 Cellina,Cellina 雪芙蘭
Bioré,MEN'S Bioré,Bioré,蜜妮 Bioré
LION獅王,LION獅王,LION 獅王
KISSME,KISSME 奇士美,KISSME
特福Tefal,特福 Tefal,法國特福 Tefal
KOSE高絲,KOSE 高絲-專櫃,KOSE 高絲
ME蘭蔻,LANCOME 蘭蔻,LANCÔME 蘭蔻
eHouse,Etude House,Bonnie House 植享家
理膚寶水,LA ROCHE POSAY 理膚寶水,理膚寶水
統一瑞穗,統一瑞穗,統一瑞穗極制
飛利浦P,飛利浦 Philips,飛利浦 PHILIPS
SHISEIDO資生堂,SHISEIDO 資生堂東京櫃,SHISEIDO 資生堂,SHISEIDO 資生堂國際櫃
SHISEIDO,資生堂 SHISEIDO,SHISEIDO 資生堂,SHISEIDO 資生堂東京櫃,SHISEIDO MEN,SHISEIDO 資生堂國際櫃
huuemura,shu uemura 植村秀,植村秀 shu uemura,植村秀 Shu uemura
MISSHA,MISSHAN 韓秀姬,MISSHA
無印良品,無印良品 MUJI,無印良品,MUJI 無印良品
ITACHI,日立 HITACHI,日立 ITACHI
獅王LION,獅王 LION,獅王LION
L'OCCITANE,歐舒丹 L'OCCITANE,L'OCCITANE 歐舒丹
台塑生醫,台塑生醫Dr's Formula,台塑生醫,台塑生醫FORTE,台塑生醫 醫之方,台塑生醫 Dr’s Formula,Dr's Formula 台塑生醫
sFormula,台塑生醫Dr's Formula,Dr‘s Formula,台塑生醫 Dr’s Formula,Dr's Formula 台塑生醫
統一AB,統一 AB,統一AB
